Designator,Footprint,Quantity,Value,LCSC Part #
"C202, C301, C401, C501, C601, C701, C702, C703",0603,8,100n,C14663
"C303, C304, C403, C404, C503, C504, C603, C604",0805,8,2.2u,C377773
D102,0805,1,green,C2297
D103,0805,1,red,C84256
D201,0805,1,Yellow,C2296
Q201,SOT-23,1,AO3401A,C15127
"Q301, Q401, Q501, Q601",SOT-23,4,AO3400A,C20917
"R109, R110, R208",0603,3,1k,C21190
"R201, R202, R205",0402,3,47k,C25792
"R203, R204",0603,2,300k,C23024
"R301, R401, R501, R601",0402,4,12k,C25752
"R302, R304, R402, R404, R502, R504, R602, R604, R701, R702, R705, R706, R709, R710, R713, R714",0402,16,10k,C25744
"R303, R403, R503, R603",2512,4,200m,C309648
"R703, R704, R707, R708, R711, R712, R715, R716",0402,8,200k,C25764
U201,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TPS25200DRVR,C128401
"U301, U401, U501, U601",SOT-23-8_Handsoldering,4,AD5160BRJZ5,C578142
"U302, U402, U502, U602",DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,4,RT9187QV,C147970
U701,TSSOP-16_4.4x5mm_P0.65mm,1,74HC4052,C5646
"U702, U703",TSSOP-8_4.4x3mm_P0.65mm,2,TLV9002,C398359
